,segment,dict_value,dict_frequency
0,aː,30,0.0002668018462687762
1,χː,783,0.006963528187615058
2,ã,96,0.0008537659080600838
3,h,2088,0.018569408500306823
4,a,21243,0.1889223873429204
5,j,2773,0.024661383990110544
6,i,13814,0.12285335681189581
7,r,8015,0.07128055992814136
8,b,5727,0.05093247245270937
9,ʁ,1240,0.011027809645776081
10,u,7242,0.06440596568928257
11,χ,1589,0.014131604457369511
12,w,1218,0.010832154958512313
13,tʃ',1074,0.009551506096422187
14,o,1778,0.0158124560888628
15,e,3641,0.0323808507421538
16,d,3937,0.03501329562533906
17,l,3082,0.02740944300667894
18,n,4250,0.03779692822140996
19,ɬ,1644,0.014620741175528935
20,ɡ,992,0.008822247716620865
21,ɬː,391,0.0034773173963697163
22,m,2786,0.024776998123493682
23,z,853,0.007586065828908869
24,b ,85,0.0007559385644281992
25,i ,126,0.00112056775432886
26,kʷ,276,0.002454576985672741
27,s,1425,0.012673087697766868
28,tʃ,1005,0.008937861850004001
29,k,1901,0.016906343658564783
30,qχ'ʷ,181,0.0016097044724882829
31,t',834,0.007417091326271978
32,t,2099,0.018667235843938708
33,qχ,985,0.008759993952491484
34,ʒ,461,0.004099855037663527
35,ʃː,597,0.005309356740748646
36,tɬ,307,0.002730272226817143
37,ũ,38,0.0003379490052737832
38,sː,883,0.007852867675177646
39,χʷ,161,0.0014318365749757655
40,tʃː,81,0.0007203649849256957
41,k'ʷ,289,0.002570191119055877
42,tsː,327,0.0029081401243296603
43,n ,14,0.00012450752825876222
44,qχ',1254,0.011152317174034844
45,kː,215,0.0019120798982595626
46,χ',693,0.00616312264880873
47,tɬ',730,0.006492178259206887
48,a ,232,0.0020632676111452023
49,qχʷ,100,0.0008893394875625873
50,xʷ,50,0.00044466974378129363
51,tʃʷ,24,0.00021344147701502094
52,k',882,0.00784397428030202
53,ts',497,0.004420017253186059
54,ʔ,218,0.0019387600828864402
55,ʃ,984,0.00875110055761586
56,ʁʷ,174,0.0015474507083589018
57,kː',256,0.0022767090881602235
58,χːʷ,58,0.0005158169027863006
59,tʃː',181,0.0016097044724882829
60,ʕ,603,0.005362717110002402
61,ɡʷ,93,0.0008270857234332061
62,ts,326,0.0028992467294540344
63,x,140,0.0012450752825876221
64,t ,21,0.00018676129238814332
65,eː,46,0.00040909616427879013
66,Б,2,1.7786789751251746e-05
67,rʷ,10,8.893394875625872e-05
68,iː ,1,8.893394875625873e-06
69,b ЩИᴴВ,1,8.893394875625873e-06
70,tʃ'ʷ,28,0.00024901505651752444
71,uБЕХЪУ ТIУ,1,8.893394875625873e-06
72,p,1064,0.009462572147665929
73,tsː',531,0.004722392678957338
74,dʷ,20,0.00017786789751251744
75,l ,15,0.0001334009231343881
76,u ,88,0.0007826187490550768
77,oː,13,0.00011561413338313634
78,"w""",1,8.893394875625873e-06
79,e ,17,0.00015118771288563984
80,ĩ,44,0.0003913093745275384
81,i  ,13,0.00011561413338313634
82,m ,16,0.00014229431801001397
83,j ,21,0.00018676129238814332
84,sʷ,8,7.114715900500698e-05
85,o ,33,0.0002934820308956538
86,w ,16,0.00014229431801001397
87,r ,26,0.0002312282667662727
88,qχ ,3,2.6680184626877617e-05
89,dʒ,113,0.0010049536209457237
90,s ,3,2.6680184626877617e-05
91,d ,1,8.893394875625873e-06
92,tʃ ,2,1.7786789751251746e-05
93,u  ,1,8.893394875625873e-06
94,ãː,2,1.7786789751251746e-05
95,k ,4,3.557357950250349e-05
96,aI,1,8.893394875625873e-06
97,hʷ,2,1.7786789751251746e-05
98,kː'ʷ,49,0.0004357763489056678
99,χ ,3,2.6680184626877617e-05
100,pː,1,8.893394875625873e-06
101,zʷ,36,0.00032016221552253144
102,ʒʷ,2,1.7786789751251746e-05
103,b  ,1,8.893394875625873e-06
104,pI,4,3.557357950250349e-05
105,f,5,4.446697437812936e-05
106,tʷ,5,4.446697437812936e-05
107,a I,1,8.893394875625873e-06
108,nʷ,7,6.225376412938111e-05
109,lʷ,2,1.7786789751251746e-05
110,sː ,1,8.893394875625873e-06
111,j  ,2,1.7786789751251746e-05
112,tɬ'ʷ,44,0.0003913093745275384
113,k­I,1,8.893394875625873e-06
114,r  ,3,2.6680184626877617e-05
115,sːʷ,1,8.893394875625873e-06
116,p ,1,8.893394875625873e-06
117,l  ,1,8.893394875625873e-06
118,k1,2,1.7786789751251746e-05
119,tsː ,1,8.893394875625873e-06
120,t' ,2,1.7786789751251746e-05
121,χ' ,3,2.6680184626877617e-05
122,t'ʷ,2,1.7786789751251746e-05
123,rí,1,8.893394875625873e-06
124,n  ,1,8.893394875625873e-06
125,ʃ ,1,8.893394875625873e-06
126,õ ,1,8.893394875625873e-06
127,uː,1,8.893394875625873e-06
128,a  ,1,8.893394875625873e-06
129,uI,1,8.893394875625873e-06
130,tsːI,1,8.893394875625873e-06
131,ʃːʷ,2,1.7786789751251746e-05
132,ẽ,14,0.00012450752825876222
